Length,Location,Start Date,End Date,Notes
0m 10d,"Bangkok, Thailand","May 10, 2023","May 20, 2023",With Paulina
0m 10d,"Chiang Mai, Thailand","May 20, 2023","May 30, 2023",With Paulina
0m 10d,"Phuket, Thailand","May 30, 2023","June 9, 2023",With Paulina
0m 28d,"Bali, Indonesia","June 9, 2023","July 7, 2023",With Paulina
1m 8d,"Finca El Pendulo, Mexico","July 7, 2023","August 15, 2023",Direct from Bali
1m 29d,"Mexico City, Mexico","August 15, 2023","October 14, 2023",Living
2m 1d,"Medellín, Colombia","October 14, 2023","December 15, 2023",With Paulina
0m 15d,"New York, USA","December 15, 2023","December 30, 2023",
0m 6d,"Boston, USA","December 30, 2023","January 5, 2024",Visiting Paulina
0m 7d,"New York, USA","January 5, 2024","January 12, 2024",
0m 2d,"Upstate NY Cabin, USA","January 12, 2024","January 14, 2024",Personal cabin
0m 15d,"New York, USA","January 14, 2024","January 29, 2024",
0m 5d,"Santiago, Chile","January 29, 2024","February 3, 2024",With Paulina
0m 25d,"Futrono area, Chile","February 3, 2024","February 28, 2024",With Paulina
1m 3d,"Medellín, Colombia","February 28, 2024","March 31, 2024",Living w/ Avery & Miko
0m 1d,"Taganga, Colombia","March 31, 2024","April 1, 2024",
0m 12d,"Palomino, Colombia","April 1, 2024","April 13, 2024",
1m 0d,"Mexico City, Mexico","April 14, 2024","May 14, 2024",
0m 15d,"Tulum, Mexico","May 14, 2024","May 29, 2024",With Avry
0m 11d,"Chicago, USA","May 29, 2024","June 9, 2024",Vipassana
3m 9d,"New York (Home Base), USA","June 9, 2024","September 18, 2024",Boston + Cabin nested
0m 5d,"Boston, USA","July 15, 2024","July 20, 2024",Nested trip
0m 3d,"Upstate NY Cabin, USA","August 30, 2024","September 2, 2024",Nested trip
0m 24d,"Valencia, Spain","September 18, 2024","October 12, 2024",With Paulina
0m 5d,"Barcelona, Spain","October 12, 2024","October 17, 2024",Breakup
0m 2d,"New York, USA","October 17, 2024","October 19, 2024",
2m 29d,"Medellín, Colombia","October 20, 2024","January 18, 2025",Agency started Dec
0m 2d,Panama,"January 18, 2025","January 20, 2025",
0m 12d,"Medellín, Colombia","January 20, 2025","February 1, 2025",
0m 11d,"Pereira, Colombia","February 1, 2025","February 12, 2025",
0m 4d,"Medellín, Colombia","February 12, 2025","February 16, 2025",
0m 20d,"Florianópolis, Brazil","February 16, 2025","March 8, 2025",
0m 11d,"Dubai, UAE","March 8, 2025","March 19, 2025",
0m 25d,"Medellín, Colombia","March 19, 2025","April 13, 2025",
0m 23d,"New York, USA","April 13, 2025","May 6, 2025",
1m 16d,"Florianópolis, Brazil","May 6, 2025","June 22, 2025",
1m 23d,"Valencia, Spain","June 22, 2025","August 15, 2025",
4m 7d,"Medellín, Colombia","August 15, 2025","December 22, 2025",
0m 12d,"New York, USA","December 22, 2025","January 3, 2026",Holidays
0m 27d,"Medellín, Colombia","January 3, 2026","January 30, 2026",
0m 1d,"Cartagena, Colombia","January 30, 2026","January 31, 2026",
0m 25d,"Medellín, Colombia","January 31, 2026","February 25, 2026",Current
